"","Road","Description","LRP.start","Offset.start","Chainage.start","LRP.end","Offset.end","Chainage.end","Length (km)","Heavy Truck","Medium Truck","Small Truck","Large Bus","Medium Bus","Micro Bus","Utility","Car","Auto Rickshaw","Motor Cycle","Bi-Cycle","Cycle Rickshaw","Cart","Motorized","Non Motorized","Total AADT","Segment","Side","PCE"
"63","N1","Fazilpur Z1081 - Muhuriganj Z1032 (Right)","LRP160","738","157.685","LRP164","619","161.582","3.897","350.0","5976.0","1656.0","1618.0","669.0","1185.0","355.0","1071.0","1266.0","409.0","96.0","196.0","0.0","14555.0","292.0","14847.0","31","R",29338.888
"64","N1","Muhuriganj Z1032-Baraiyerhat R151 (Left)","LRP164","619","161.582","LRP164","6720","167.683","6.101","366.0","3877.0","1050.0","1313.0","539.0","752.0","319.0","770.0","2247.0","371.0","109.0","251.0","0.0","11604.0","360.0","11964.0","32","L",21709.68
"65","N1","Muhuriganj Z1032-Baraiyerhat R151 (Right)","LRP164","619","161.582","LRP164","6720","167.683","6.101","376.0","4095.0","978.0","1358.0","526.0","765.0","277.0","770.0","2304.0","292.0","75.0","282.0","0.0","11741.0","357.0","12098.0","32","R",22272.908
"66","N1","Baraiyerhat R151- Mirersarai Z1021 (Left)","LRP164","6720","167.683","LRP164","20501","181.464","13.781","366.0","3877.0","1050.0","1313.0","539.0","752.0","319.0","770.0","2247.0","371.0","109.0","251.0","0.0","11604.0","360.0","11964.0","33","L",21709.68
"67","N1","Baraiyerhat R151- Mirersarai Z1021 (Right)","LRP164","6720","167.683","LRP164","20501","181.464","13.781","376.0","4095.0","978.0","1358.0","526.0","765.0","277.0","770.0","2304.0","292.0","75.0","282.0","0.0","11741.0","357.0","12098.0","33","R",22272.908
"68","N1","Mirersarai Z1021 - Baroirdala Z1086 (Left)","LRP164","20501","181.464","LRP197","1120","194.603","13.139","366.0","3877.0","1050.0","1313.0","539.0","752.0","319.0","770.0","2247.0","371.0","109.0","251.0","0.0","11604.0","360.0","11964.0","34","L",21709.68
"69","N1","Mirersarai Z1021 - Baroirdala Z1086 (Right)","LRP164","20501","181.464","LRP197","1120","194.603","13.139","376.0","4095.0","978.0","1358.0","526.0","765.0","277.0","770.0","2304.0","292.0","75.0","282.0","0.0","11741.0","357.0","12098.0","34","R",22272.908
"70","N1","Baroirdala Z1086- Barabkunda Z1087 (Left)","LRP197","1120","194.603","LRP209","486","206.402","11.799","986.0","5219.0","1000.0","1499.0","561.0","881.0","230.0","831.0","2864.0","451.0","93.0","288.0","0.0","14522.0","381.0","14903.0","35","L",28231.404
"71","N1","Baroirdala Z1086- Barabkunda Z1087 (Right)","LRP197","1120","194.603","LRP209","486","206.402","11.799","1217.0","5230.0","1456.0","1648.0","654.0","843.0","247.0","775.0","2735.0","415.0","109.0","350.0","0.0","15220.0","459.0","15679.0","35","R",29978.312
"72","N1","Barabkunda Z1087-Fouzderhat Z1016 (Left)","LRP209","486","206.402","LRP225","6400","228.406","22.004","986.0","5219.0","1000.0","1499.0","561.0","881.0","230.0","831.0","2864.0","451.0","93.0","288.0","0.0","14522.0","381.0","14903.0","36","L",28231.404
"73","N1","Barabkunda Z1087-Fouzderhat Z1016 (Right)","LRP209","486","206.402","LRP225","6400","228.406","22.004","1217.0","5230.0","1456.0","1648.0","654.0","843.0","247.0","775.0","2735.0","415.0","109.0","350.0","0.0","15220.0","459.0","15679.0","36","R",29978.312
"74","N1","Fouzderhat Z1016 - Alonker Cinema Hall (Chittagong)","LRP225","6400","228.406","LRP225","10748","232.754","4.348","21.0","1105.0","808.0","898.0","621.0","987.0","194.0","694.0","2994.0","581.0","221.0","426.0","0.0","8903.0","647.0","9550.0","37","NA",13797.804
"75","N1","Chittagong (Badderhat)-Maizzertek int with Z1804","LRP225","10748","232.754","LRP251","496","247.893","15.139","21.0","1105.0","808.0","898.0","621.0","987.0","194.0","694.0","2994.0","581.0","221.0","426.0","0.0","8903.0","647.0","9550.0","38","NA",13797.804
"76","N1","Maizzertek Int with Z1804-Sikolbaha Int with Z1018","LRP251","496","247.893","LRP251","3048","250.445","2.552","21.0","1105.0","808.0","898.0","621.0","987.0","194.0","694.0","2994.0","581.0","221.0","426.0","0.0","8903.0","647.0","9550.0","39","NA",13797.804
