"","road","chainage.road","lrp","lat.road","lon.road","type","chainage.bridge","condition","lat.bridge","lon.bridge","destination","chainage","lat","lon"
"922","N1",325.513,"LRP330a",21.8179716,92.073916,"Culvert",NA,NA,NA,NA,"LRP331",325.513,21.8179716,92.073916
"923","N1",326.344,"LRP331",21.8119444,92.0776382,"KmPost",NA,NA,NA,NA,"LRP331a",326.344,21.8119444,92.0776382
"924","N1",327.188,"LRP331a",21.8045278,92.077166,"SideRoad,Right",335.192,"B",21.74014662,92.08262437,"LRP331b",327.188,21.8045278,92.077166
"925",NA,NA,"LRP323b",NA,NA,NA,327.312,"A",21.8034238,92.07723221,"LRP325c",327.312,21.8034238,92.07723221
"926","N1",327.344,"LRP331b",21.8031389,92.0772493,"Bridge",NA,NA,NA,NA,"LRP331c",327.344,21.8031389,92.0772493
"927","N1",327.359,"LRP331c",21.8030278,92.0772771,"Bridge",NA,NA,NA,NA,"LRP332",327.359,21.8030278,92.0772771
"928","N1",327.369,"LRP332",21.8029167,92.0772771,"KmPost",NA,NA,NA,NA,"LRP333",327.369,21.8029167,92.0772771
"929","N1",328.362,"LRP333",21.7941941,92.0783882,"KmPost",NA,NA,NA,NA,"LRP333a",328.362,21.7941941,92.0783882
"930","N1",329.137,"LRP333a",21.7873886,92.0788882,"Culvert",337.019,"A",21.72407393,92.08354415,"LRP333b",329.137,21.7873886,92.0788882
"931",NA,NA,"LRP325c",NA,NA,NA,329.181,"A",21.78699748,92.07894932,"LRP332a",329.181,21.78699748,92.07894932
"932","N1",329.237,"LRP333b",21.7864997,92.0790271,"Culvert",NA,NA,NA,NA,"LRP334",329.237,21.7864997,92.0790271
"933","N1",329.375,"LRP334",21.7853052,92.079166,"KmPost",NA,NA,NA,NA,"LRP334a",329.375,21.7853052,92.079166
"934","N1",329.555,"LRP334a",21.7836941,92.0792771,"Culvert",NA,NA,NA,NA,"LRP335",329.555,21.7836941,92.0792771
"935","N1",330.374,"LRP335",21.7782493,92.0840552,"KmPost",NA,NA,NA,NA,"LRP335a",330.374,21.7782493,92.0840552
"936","N1",330.454,"LRP335a",21.7776382,92.0843886,"Culvert",338.859,"A",21.70925138,92.08067506,"LRP335b",330.454,21.7776382,92.0843886
"937","N1",330.679,"LRP335b",21.7758049,92.0851108,"Culvert",NA,NA,NA,NA,"LRP335c",330.679,21.7758049,92.0851108
"938","N1",330.874,"LRP335c",21.7737216,92.0840552,"CrossRoad",NA,NA,NA,NA,"LRP335d",330.874,21.7737216,92.0840552
