"","road.road","chainage.road","lrp","lat.road","lon.road","type.road","condition","road.bridge","chainage.bridge","lat.bridge","lon.bridge","type.bridge","destination"
"118","N1",45.269,"LRP046",23.5308049,90.7811104,"KmPost",NA,"N1",45.269,23.5308049,90.7811104,"KmPost","LRP046a"
"119","N1",45.322,"LRP046a",23.5307493,90.7816104,"SideRoad,Right",NA,"N1",45.322,23.5307493,90.7816104,"SideRoad,Right","LRP046b"
"120","N1",45.388,"LRP046b",23.530666,90.7821938,"SideRoad,Left",NA,"N1",45.388,23.530666,90.7821938,"SideRoad,Left","LRP046c"
"121","N1",46.161,"LRP046c",23.5312216,90.7895552,"Culvert",NA,"N1",46.161,23.5312216,90.7895552,"Culvert","LRP047"
"122","N1",46.269,"LRP047",23.531166,90.7907219,"KmPost",NA,"N1",46.269,23.531166,90.7907219,"KmPost","LRP047a"
"123","N1",47.224,"LRP047a",23.5306938,90.7924441,"SideRoad,Right",NA,"N1",47.224,23.5306938,90.7924441,"SideRoad,Right","LRP048"
"124","N1",47.269,"LRP048",23.5308604,90.8002222,"KmPost",NA,"N1",47.269,23.5308604,90.8002222,"KmPost","LRP048a"
"125","N1",47.672,"LRP048a",23.5308882,90.8041389,"Bridge",NA,"N1",47.672,23.5308882,90.8041389,"Bridge","LRP048b"
"126","N1",47.692,"LRP048b",23.530916,90.8043611,"Bridge",NA,"N1",47.692,23.530916,90.8043611,"Bridge","LRP049"
"127","N1",48.269,"LRP049",23.5316382,90.8099167,"KmPost",NA,"N1",48.269,23.5316382,90.8099167,"KmPost","LRP050"
"128","N1",49.269,"LRP050",23.5332493,90.8194716,"KmPost",NA,"N1",49.269,23.5332493,90.8194716,"KmPost","LRP050a"
"129","N1",49.863,"LRP050a",23.5346663,90.8249716,"Bridge",NA,"N1",49.863,23.5346663,90.8249716,"Bridge","LRP050b"
"130","N1",49.879,"LRP050b",23.5347219,90.8251104,"Bridge",NA,"N1",49.879,23.5347219,90.8251104,"Bridge","LRP051"
"131","N1",50.269,"LRP051",23.5344997,90.8287216,"KmPost",NA,"N1",50.269,23.5344997,90.8287216,"KmPost","LRP052"
"132","N1",51.269,"LRP052",23.5292216,90.8365274,"KmPost",NA,"N1",51.269,23.5292216,90.8365274,"KmPost","LRP052a"
"133","N1",51.636,"LRP052a",23.5270549,90.8391386,"Culvert",NA,"N1",51.636,23.5270549,90.8391386,"Culvert","LRP053"
"134","N1",52.269,"LRP053",23.523166,90.8438886,"KmPost",NA,"N1",52.269,23.523166,90.8438886,"KmPost","LRP054"
"135","N1",53.269,"LRP054",23.5174993,90.8513889,"KmPost",NA,"N1",53.269,23.5174993,90.8513889,"KmPost","LRP055"
"136","N1",54.269,"LRP055",23.5170827,90.8607778,"KmPost",NA,"N1",54.269,23.5170827,90.8607778,"KmPost","LRP056"
"137","N1",55.269,"LRP056",23.5135833,90.8697771,"KmPost",NA,"N1",55.269,23.5135833,90.8697771,"KmPost","LRP056a"
"138","N1",55.333,"LRP056a",23.5133056,90.8703049,"Bridge",NA,"N1",55.333,23.5133056,90.8703049,"Bridge","LRP056b"
"139","N1",55.375,"LRP056b",23.5131111,90.8706382,"Bridge",NA,"N1",55.375,23.5131111,90.8706382,"Bridge","LRP056c"
"140","N1",55.477,"LRP056c",23.5126667,90.871416,"SideRoad,Left",NA,"N1",55.477,23.5126667,90.871416,"SideRoad,Left","LRP057"
"141","N1",56.269,"LRP057",23.5088056,90.8778604,"KmPost",NA,"N1",56.269,23.5088056,90.8778604,"KmPost","LRP058"
"142","N1",57.269,"LRP058",23.506,90.8869163,"KmPost",NA,"N1",57.269,23.506,90.8869163,"KmPost","LRP058a"
"143","N1",58.191,"LRP058a",23.5056111,90.8958886,"Culvert",NA,"N1",58.191,23.5056111,90.8958886,"Culvert","LRP059"
"144","N1",58.269,"LRP059",23.5056389,90.8966108,"KmPost",NA,"N1",58.269,23.5056389,90.8966108,"KmPost","LRP060"
"145","N1",59.269,"LRP060",23.5062778,90.9063889,"KmPost",NA,"N1",59.269,23.5062778,90.9063889,"KmPost","LRP060a"
"146","N1",60.18,"LRP060a",23.50575,90.91525,"Culvert",NA,"N1",60.18,23.50575,90.91525,"Culvert","LRP061"
"147","N1",60.269,"LRP061",23.5057222,90.9160278,"KmPost",NA,"N1",60.269,23.5057222,90.9160278,"KmPost","LRP062"
"148","N1",61.269,"LRP062",23.5055278,90.9257216,"KmPost",NA,"N1",61.269,23.5055278,90.9257216,"KmPost","LRP063"
"149","N1",62.269,"LRP063",23.5042778,90.9354163,"KmPost",NA,"N1",62.269,23.5042778,90.9354163,"KmPost","LRP063a"
"150","N1",62.278,"LRP063a",23.5043333,90.9354719,"SideRoad,Left",NA,"N1",62.278,23.5043333,90.9354719,"SideRoad,Left","LRP063b"
"151","N1",62.542,"LRP063b",23.5038611,90.9371386,"Culvert",NA,"N1",62.542,23.5038611,90.9371386,"Culvert","LRP063c"
"152","N1",62.894,"LRP063c",23.5028611,90.9412774,"Culvert",NA,"N1",62.894,23.5028611,90.9412774,"Culvert","LRP064"
"153","N1",63.269,"LRP064",23.5020278,90.9448886,"KmPost",NA,"N1",63.269,23.5020278,90.9448886,"KmPost","LRP065"
"154","N1",64.269,"LRP065",23.4995274,90.9541667,"KmPost",NA,"N1",64.269,23.4995274,90.9541667,"KmPost","LRP066"
"155","N1",65.269,"LRP066",23.4986386,90.9651111,"KmPost",NA,"N1",65.269,23.4986386,90.9651111,"KmPost","LRP066a"
